,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"Greenport West CDP, New York: Summary level: 160, state:36> place:30581",2124,1621,503
"Yorktown Heights CDP, New York: Summary level: 160, state:36> place:84088",1385,1109,276
"Fort Montgomery CDP, New York: Summary level: 160, state:36> place:26902",1586,1454,132
"Pine Bush CDP, New York: Summary level: 160, state:36> place:57980",1421,1030,391
"Walton Park CDP, New York: Summary level: 160, state:36> place:78063",2707,2573,134
"Salisbury CDP, New York: Summary level: 160, state:36> place:64842",11726,10958,768
"South Farmingdale CDP, New York: Summary level: 160, state:36> place:69001",14919,13869,1050
"Bridgeport CDP, New York: Summary level: 160, state:36> place:08147",1554,1238,316
"North Syracuse village, New York: Summary level: 160, state:36> place:53660",6730,4838,1892
"Arkport village, New York: Summary level: 160, state:36> place:02583",853,710,143
"Savona village, New York: Summary level: 160, state:36> place:65354",825,684,141
"South Hill CDP, New York: Summary level: 160, state:36> place:69199",2540,1550,990
"Hagaman village, New York: Summary level: 160, state:36> place:31291",1473,1192,281
"Morrisville village, New York: Summary level: 160, state:36> place:48593",652,486,166
"Andover village, New York: Summary level: 160, state:36> place:02143",818,664,154
"Norwich city, New York: Summary level: 160, state:36> place:53979",6541,4836,1705
"Lyons CDP, New York: Summary level: 160, state:36> place:43962",3373,2679,694
"Gang Mills CDP, New York: Summary level: 160, state:36> place:28145",4361,3800,561
"Oakdale CDP, New York: Summary level: 160, state:36> place:54144",7106,5969,1137
"Orient CDP, New York: Summary level: 160, state:36> place:55321",769,655,114
"Quogue village, New York: Summary level: 160, state:36> place:60422",794,707,87
"Ridge CDP, New York: Summary level: 160, state:36> place:61665",13353,10823,2530
"Ronkonkoma CDP, New York: Summary level: 160, state:36> place:63473",18263,16246,2017
"Bedford CDP, New York: Summary level: 160, state:36> place:05309",2054,1863,191
"Spencer village, New York: Summary level: 160, state:36> place:70167",782,633,149
"Catskill village, New York: Summary level: 160, state:36> place:13002",3785,2681,1104
"Greenville CDP (Greene County), New York: Summary level: 160, state:36> place:30609",597,411,186
"Harrison village, New York: Summary level: 160, state:36> place:32402",24067,21282,2785
"Jefferson Valley-Yorktown CDP, New York: Summary level: 160, state:36> place:38500",14421,12966,1455
"Lake Mohegan CDP, New York: Summary level: 160, state:36> place:40689",5806,5214,592
"Milton CDP (Ulster County), New York: Summary level: 160, state:36> place:47554",1366,1008,358
"Greenwich village, New York: Summary level: 160, state:36> place:30675",1957,1576,381
"Holley village, New York: Summary level: 160, state:36> place:35155",1743,1343,400
"Bohemia CDP, New York: Summary level: 160, state:36> place:07157",9226,7692,1534
"Medford CDP, New York: Summary level: 160, state:36> place:46404",23874,21128,2746
"Town Line CDP, New York: Summary level: 160, state:36> place:75121",1757,1526,231
"Cornwall-on-Hudson village, New York: Summary level: 160, state:36> place:18333",2849,2507,342
"Woodbury village, New York: Summary level: 160, state:36> place:82750",10724,10033,691
"Sagaponack village, New York: Summary level: 160, state:36> place:64452",260,235,25
"Westport CDP, New York: Summary level: 160, state:36> place:80764",394,272,122
"Ticonderoga CDP, New York: Summary level: 160, state:36> place:73880",3019,2607,412
"Schenevus CDP, New York: Summary level: 160, state:36> place:65519",485,402,83
"Fillmore CDP, New York: Summary level: 160, state:36> place:25747",497,415,82
"South Blooming Grove village, New York: Summary level: 160, state:36> place:68610",3145,2775,370
"Andes CDP, New York: Summary level: 160, state:36> place:02121",243,200,43
"Bloomville CDP, New York: Summary level: 160, state:36> place:07025",160,109,51
"Lido Beach CDP, New York: Summary level: 160, state:36> place:42279",2985,2675,310
"Matinecock village, New York: Summary level: 160, state:36> place:46107",897,864,33
"Mill Neck village, New York: Summary level: 160, state:36> place:47405",1011,960,51
"Munsey Park village, New York: Summary level: 160, state:36> place:49231",2719,2653,66
"North Merrick CDP, New York: Summary level: 160, state:36> place:53264",12209,11562,647
"East Nassau village, New York: Summary level: 160, state:36> place:22557",602,520,82
"Menands village, New York: Summary level: 160, state:36> place:46536",3897,2986,911
"Ravena village, New York: Summary level: 160, state:36> place:60675",3215,2574,641
"Hamburg village, New York: Summary level: 160, state:36> place:31643",9598,8012,1586
"Harris Hill CDP, New York: Summary level: 160, state:36> place:32391",5726,4865,861
"Lake Erie Beach CDP, New York: Summary level: 160, state:36> place:40486",3719,2974,745
"Lancaster village, New York: Summary level: 160, state:36> place:41135",10112,7477,2635
"Cayuga Heights village, New York: Summary level: 160, state:36> place:13079",2992,2128,864
