,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Central Square village, New York: Summary level: 160, state:36> place:13585",402,12,27,103,24,488,316,10,0,34,0,172,0,0,18,0
"Narrowsburg CDP, New York: Summary level: 160, state:36> place:49473",49,0,4,3,0,124,56,11,2,20,3,68,0,0,6,0
"Roscoe CDP, New York: Summary level: 160, state:36> place:63583",38,0,0,0,5,211,121,0,51,0,0,90,0,7,0,0
"Gardnertown CDP, New York: Summary level: 160, state:36> place:28310",287,0,0,65,0,1410,976,27,120,129,0,434,20,50,23,11
"Otisville village, New York: Summary level: 160, state:36> place:55673",80,5,7,16,5,323,238,17,27,44,8,85,2,9,8,6
"Port Jervis city, New York: Summary level: 160, state:36> place:59388",1990,120,229,724,96,1907,1231,99,31,154,16,676,50,23,101,33
"Manorville CDP, New York: Summary level: 160, state:36> place:45139",943,16,97,389,19,3983,2684,245,116,533,0,1299,84,142,204,18
"Huntington Bay village, New York: Summary level: 160, state:36> place:37022",35,0,0,0,32,487,270,18,18,76,0,217,3,6,44,0
"Islip CDP, New York: Summary level: 160, state:36> place:37869",776,49,147,158,70,5158,3426,353,249,344,11,1732,72,90,248,9
"Islip Terrace CDP, New York: Summary level: 160, state:36> place:38022",201,9,10,34,47,1409,994,73,69,73,0,415,23,18,62,0
"Moriches CDP, New York: Summary level: 160, state:36> place:48450",838,44,146,302,0,710,310,16,46,31,0,400,14,28,62,0
"Mount Sinai CDP, New York: Summary level: 160, state:36> place:49066",240,0,0,91,17,3784,2429,83,232,321,15,1355,114,56,205,15
"North Great River CDP, New York: Summary level: 160, state:36> place:52078",310,65,41,82,34,1017,683,27,100,113,0,334,8,41,38,0
"Port Jefferson Station CDP, New York: Summary level: 160, state:36> place:59377",711,15,116,189,97,1991,1458,92,132,326,0,533,12,0,167,0
"Remsenburg-Speonk CDP, New York: Summary level: 160, state:36> place:61142",133,0,15,22,0,713,420,24,49,70,0,293,0,49,36,17
"St. James CDP, New York: Summary level: 160, state:36> place:64584",398,26,97,102,6,4289,2769,211,275,439,8,1520,21,76,290,31
"Shelter Island CDP, New York: Summary level: 160, state:36> place:66828",123,0,42,0,81,632,367,0,0,49,0,265,0,0,13,0
"Shirley CDP, New York: Summary level: 160, state:36> place:67070",1551,20,117,823,110,6855,5310,495,394,873,66,1545,159,25,148,38
"Shoreham village, New York: Summary level: 160, state:36> place:67191",5,0,0,0,2,157,87,5,17,24,0,70,1,2,4,1
"Loch Sheldrake CDP, New York: Summary level: 160, state:36> place:43038",112,0,40,28,0,224,159,0,27,26,0,65,0,0,0,0
"Quiogue CDP, New York: Summary level: 160, state:36> place:60408",99,0,9,31,9,241,153,0,10,10,0,88,0,0,34,0
"Mastic Beach village, New York: Summary level: 160, state:36> place:46085",1154,208,166,362,66,2963,2230,140,261,433,0,733,0,51,81,19
"Odessa village, New York: Summary level: 160, state:36> place:54452",58,6,2,14,0,167,97,0,7,6,0,70,3,0,0,2
