,Total,Not Hispanic or Latino,Not Hispanic or Latino White alone,Not Hispanic or Latino Black or African American alone,Not Hispanic or Latino American Indian and Alaska Native alone,Not Hispanic or Latino Asian alone,Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino Some other race alone,Not Hispanic or Latino Two or more races,Not Hispanic or Latino Two or more races Two races including Some other race,"Not Hispanic or Latino Two or more races Two races excluding Some other race, and three or more",Hispanic or Latino
"Tarrytown village, New York: Summary level: 160, state:36> place:73176",11459,8320,7018,537,0,672,0,0,93,0,93,3139
"Johnstown city, New York: Summary level: 160, state:36> place:38781",8307,7877,7253,371,0,51,0,0,202,0,202,430
"Central Square village, New York: Summary level: 160, state:36> place:13585",1855,1855,1829,9,0,0,0,0,17,0,17,0
"Narrowsburg CDP, New York: Summary level: 160, state:36> place:49473",338,338,291,0,6,41,0,0,0,0,0,0
"Roscoe CDP, New York: Summary level: 160, state:36> place:63583",546,536,536,0,0,0,0,0,0,0,0,10
"Gardnertown CDP, New York: Summary level: 160, state:36> place:28310",5200,4220,3290,698,0,52,0,8,172,0,172,980
"Otisville village, New York: Summary level: 160, state:36> place:55673",1255,1077,950,18,0,91,0,0,18,0,18,178
"Port Jervis city, New York: Summary level: 160, state:36> place:59388",8614,7649,6583,514,37,73,0,28,414,0,414,965
"Manorville CDP, New York: Summary level: 160, state:36> place:45139",14405,12909,11854,478,0,224,0,99,254,3,251,1496
"Huntington Bay village, New York: Summary level: 160, state:36> place:37022",1366,1354,1305,3,7,30,0,9,0,0,0,12
"Islip CDP, New York: Summary level: 160, state:36> place:37869",17921,15113,13758,799,0,316,0,44,196,0,196,2808
"Islip Terrace CDP, New York: Summary level: 160, state:36> place:38022",5529,4637,4329,85,0,173,0,0,50,0,50,892
"Moriches CDP, New York: Summary level: 160, state:36> place:48450",3277,3130,2468,266,30,201,0,0,165,0,165,147
"Mount Sinai CDP, New York: Summary level: 160, state:36> place:49066",11529,9975,9217,87,112,442,0,0,117,0,117,1554
"North Great River CDP, New York: Summary level: 160, state:36> place:52078",3934,3479,3211,119,1,108,0,0,40,9,31,455
"Port Jefferson Station CDP, New York: Summary level: 160, state:36> place:59377",7808,6614,5839,227,0,376,0,0,172,1,171,1194
"Remsenburg-Speonk CDP, New York: Summary level: 160, state:36> place:61142",1974,1749,1671,78,0,0,0,0,0,0,0,225
"St. James CDP, New York: Summary level: 160, state:36> place:64584",13155,12310,11430,45,0,682,0,5,148,0,148,845
"Shelter Island CDP, New York: Summary level: 160, state:36> place:66828",1695,1526,1440,0,0,0,0,86,0,0,0,169
"Shirley CDP, New York: Summary level: 160, state:36> place:67070",28698,21624,18369,2488,40,390,0,24,313,27,286,7074
"Shoreham village, New York: Summary level: 160, state:36> place:67191",437,428,419,0,0,6,0,0,3,0,3,9
"Loch Sheldrake CDP, New York: Summary level: 160, state:36> place:43038",1236,1027,788,214,0,6,0,0,19,0,19,209
"Quiogue CDP, New York: Summary level: 160, state:36> place:60408",844,630,552,0,28,20,0,0,30,0,30,214
"Mastic Beach village, New York: Summary level: 160, state:36> place:46085",11953,10005,8941,626,53,177,0,10,198,0,198,1948
"Odessa village, New York: Summary level: 160, state:36> place:54452",504,497,485,4,1,0,0,0,7,0,7,7
"Watkins Glen village, New York: Summary level: 160, state:36> place:78696",2016,1909,1815,20,0,46,0,0,28,0,28,107
"Interlaken village, New York: Summary level: 160, state:36> place:37528",591,590,562,3,4,4,0,0,17,0,17,1
"Belmont village, New York: Summary level: 160, state:36> place:05815",807,803,791,12,0,0,0,0,0,0,0,4
"Holland CDP, New York: Summary level: 160, state:36> place:35111",1190,1161,1135,0,0,0,0,0,26,0,26,29
"Lackawanna city, New York: Summary level: 160, state:36> place:40189",17859,16186,13399,1711,36,105,34,127,774,0,774,1673
"Orchard Park village, New York: Summary level: 160, state:36> place:55266",3154,2990,2939,8,0,43,0,0,0,0,0,164
"West Seneca CDP, New York: Summary level: 160, state:36> place:80907",45332,44664,43603,499,51,224,0,7,280,31,249,668
"Burdett village, New York: Summary level: 160, state:36> place:11132",437,426,414,0,1,11,0,0,0,0,0,11
"East Ithaca CDP, New York: Summary level: 160, state:36> place:22326",2041,1877,1135,58,0,640,0,0,44,0,44,164
"Groton village, New York: Summary level: 160, state:36> place:30961",2050,2015,1855,53,5,13,0,0,89,0,89,35
"Lansing village, New York: Summary level: 160, state:36> place:41223",3535,3260,1982,187,0,997,0,0,94,0,94,275
"West Hills CDP, New York: Summary level: 160, state:36> place:80258",5338,4875,4418,2,0,249,0,77,129,0,129,463
"Ardsley village, New York: Summary level: 160, state:36> place:02506",4534,4160,3096,154,9,702,0,6,193,0,193,374
"Croton-on-Hudson village, New York: Summary level: 160, state:36> place:19213",8183,7088,5960,444,29,388,0,48,219,32,187,1095
"Pelham village, New York: Summary level: 160, state:36> place:57001",6949,5801,4084,859,0,600,0,0,258,0,258,1148
"Arcade village, New York: Summary level: 160, state:36> place:02407",2182,2135,2091,1,0,33,0,0,10,0,10,47
"Rapids CDP, New York: Summary level: 160, state:36> place:60609",1198,1187,1187,0,0,0,0,0,0,0,0,11
"Mahopac CDP, New York: Summary level: 160, state:36> place:44534",8426,7126,6825,1,0,90,0,9,201,11,190,1300
"Shenorock CDP, New York: Summary level: 160, state:36> place:66872",2179,1823,1637,32,21,100,0,0,33,0,33,356
"Dundee village, New York: Summary level: 160, state:36> place:21050",1624,1607,1567,6,0,9,0,0,25,0,25,17
"Richburg village, New York: Summary level: 160, state:36> place:61434",450,449,449,0,0,0,0,0,0,0,0,1
"Cassadaga village, New York: Summary level: 160, state:36> place:12749",516,504,492,0,0,12,0,0,0,0,0,12
"Lakewood village, New York: Summary level: 160, state:36> place:41069",2872,2772,2717,6,0,9,0,26,14,0,14,100
"Westfield village, New York: Summary level: 160, state:36> place:79939",2982,2693,2575,0,0,118,0,0,0,0,0,289
"Binghamton University CDP, New York: Summary level: 160, state:36> place:06644",6149,5544,3750,355,0,1262,0,2,175,61,114,605
"Bedford Hills CDP, New York: Summary level: 160, state:36> place:05342",3522,1650,1480,57,0,81,0,0,32,0,32,1872
"Belfast CDP, New York: Summary level: 160, state:36> place:05562",715,715,711,2,0,0,0,0,2,0,2,0
"Belleville CDP, New York: Summary level: 160, state:36> place:05683",306,288,288,0,0,0,0,0,0,0,0,18
"Melrose Park CDP, New York: Summary level: 160, state:36> place:46503",2330,2329,2326,0,0,3,0,0,0,0,0,1
"Meridian village, New York: Summary level: 160, state:36> place:46646",327,327,327,0,0,0,0,0,0,0,0,0
"Voorheesville village, New York: Summary level: 160, state:36> place:77684",2806,2757,2649,27,0,55,0,0,26,8,18,49
