,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Chautauqua CDP, New York: Summary level: 160, state:36> place:14058",-666666666,80156,64603.0,173,18,0,0,0,22,14,0,0,0,13,19,53,26,0,0,8
"Chazy CDP, New York: Summary level: 160, state:36> place:14102",-666666666,69107,24890.0,174,0,0,8,0,0,0,9,23,20,2,48,27,7,20,10,0
"Cheektowaga CDP, New York: Summary level: 160, state:36> place:15000",760,48052,25279.0,32762,1801,1814,2067,2034,2015,2178,1877,1532,1734,3015,3884,4478,2564,826,680,263
"Chenango Bridge CDP, New York: Summary level: 160, state:36> place:15121",707,70395,30825.0,1169,25,40,67,9,52,59,75,66,54,70,212,208,64,37,63,68
"Cherry Creek village, New York: Summary level: 160, state:36> place:15187",663,43750,18850.0,199,18,23,12,11,3,14,7,19,11,34,7,19,10,10,1,0
"Cherry Valley village, New York: Summary level: 160, state:36> place:15242",758,36154,26776.0,242,5,26,11,22,19,32,13,12,0,31,13,29,16,6,4,3
"Chester village, New York: Summary level: 160, state:36> place:15297",1180,67926,35111.0,1699,40,60,51,104,24,30,129,23,69,223,200,278,161,91,193,23
"Chestertown CDP, New York: Summary level: 160, state:36> place:15363",749,52083,17492.0,309,0,34,44,0,29,9,0,25,6,60,30,63,0,9,0,0
"Chestnut Ridge village, New York: Summary level: 160, state:36> place:15400",1680,108615,37104.0,2498,94,98,33,111,30,98,67,56,112,54,156,244,358,256,371,360
"Chittenango village, New York: Summary level: 160, state:36> place:15561",656,65053,27202.0,1902,141,27,118,85,97,105,21,52,37,182,254,312,277,96,79,19
"Churchville village, New York: Summary level: 160, state:36> place:15638",512,59659,28805.0,825,24,12,67,28,52,53,31,44,43,60,99,126,94,74,8,10
