,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Perrysburg CDP, New York: Summary level: 160, state:36> place:57287",385,75,9,0,310,55,0,0,0,10,13
"Copake Falls CDP, New York: Summary level: 160, state:36> place:18113",263,45,0,0,218,16,0,0,0,0,14
"Pierrepont Manor CDP, New York: Summary level: 160, state:36> place:57782",170,0,0,0,170,0,0,0,0,29,34
"Piffard CDP, New York: Summary level: 160, state:36> place:57804",284,8,0,0,276,59,0,0,0,0,0
"Pike CDP, New York: Summary level: 160, state:36> place:57815",221,19,8,0,202,39,2,0,0,8,2
"Pine Valley CDP, New York: Summary level: 160, state:36> place:58189",674,123,0,0,551,59,0,0,0,35,33
"Plessis CDP, New York: Summary level: 160, state:36> place:58739",175,0,0,0,175,74,9,0,0,9,0
"York Hamlet CDP, New York: Summary level: 160, state:36> place:84035",399,27,12,0,372,22,0,0,0,0,0
"Watchtower CDP, New York: Summary level: 160, state:36> place:78487",2136,1965,0,0,171,0,0,0,0,0,0
"Water Mill CDP, New York: Summary level: 160, state:36> place:78575",1862,189,0,0,1673,195,0,0,0,9,35
"Brasher Falls CDP, New York: Summary level: 160, state:36> place:07960",699,197,104,27,502,98,1,80,0,15,8
"Campbell CDP, New York: Summary level: 160, state:36> place:11935",713,203,113,0,510,67,0,0,0,0,0
"Caroga Lake CDP, New York: Summary level: 160, state:36> place:12584",579,52,6,0,527,85,2,0,0,10,0
"Central Bridge CDP, New York: Summary level: 160, state:36> place:13530",328,69,40,0,259,71,0,0,0,0,0
"Chautauqua CDP, New York: Summary level: 160, state:36> place:14058",137,5,5,0,132,17,0,0,0,0,0
"Chadwicks CDP, New York: Summary level: 160, state:36> place:13662",1366,133,100,0,1233,186,0,0,0,0,0
"Chenango Bridge CDP, New York: Summary level: 160, state:36> place:15121",2882,321,77,0,2561,552,76,0,0,34,88
"Clarkson CDP, New York: Summary level: 160, state:36> place:15946",4120,210,0,0,3910,1040,71,25,0,128,146
"Chazy CDP, New York: Summary level: 160, state:36> place:14102",493,90,0,0,403,95,0,0,0,30,0
"Chestertown CDP, New York: Summary level: 160, state:36> place:15363",515,87,33,0,428,57,0,0,0,0,0
"Clarence CDP, New York: Summary level: 160, state:36> place:15814",2455,232,81,0,2223,539,18,0,0,96,18
"Colton CDP, New York: Summary level: 160, state:36> place:17398",374,44,0,0,330,65,8,4,4,18,15
"Conesus Hamlet CDP, New York: Summary level: 160, state:36> place:17620",435,23,0,0,412,115,16,0,0,36,5
"Coopers Plains CDP, New York: Summary level: 160, state:36> place:18036",391,52,11,0,339,43,0,0,0,0,18
"Conesus Lake CDP, New York: Summary level: 160, state:36> place:17622",2357,113,19,0,2244,250,0,0,0,6,15
"Cranberry Lake CDP, New York: Summary level: 160, state:36> place:18817",166,30,3,0,136,17,3,0,0,4,3
"Cumminsville CDP, New York: Summary level: 160, state:36> place:19411",145,58,0,0,87,0,0,0,0,0,0
"Cuylerville CDP, New York: Summary level: 160, state:36> place:19510",221,49,0,0,172,28,0,0,0,5,0
"Crystal Beach CDP, New York: Summary level: 160, state:36> place:19308",801,134,51,0,667,88,11,0,0,11,0
"Dalton CDP, New York: Summary level: 160, state:36> place:19587",318,19,3,0,299,38,0,3,0,1,23
"Davenport Center CDP, New York: Summary level: 160, state:36> place:19774",222,9,0,0,213,52,0,0,0,0,0
"DeKalb Junction CDP, New York: Summary level: 160, state:36> place:20049",596,67,20,0,529,112,4,0,0,4,10
"Downsville CDP, New York: Summary level: 160, state:36> place:20852",458,136,54,0,322,39,8,0,0,0,8
"Durhamville CDP, New York: Summary level: 160, state:36> place:21226",966,426,223,14,540,118,0,0,14,0,10
"East Avon CDP, New York: Summary level: 160, state:36> place:21600",723,110,0,0,613,177,13,0,0,17,28
"Edmeston CDP, New York: Summary level: 160, state:36> place:23602",611,64,21,0,547,95,0,11,4,24,29
"Eggertsville CDP, New York: Summary level: 160, state:36> place:23701",15034,1921,702,20,13113,3317,171,145,75,280,256
"Elizabethtown CDP, New York: Summary level: 160, state:36> place:23822",608,62,32,0,546,147,0,0,1,0,9
"Erin CDP, New York: Summary level: 160, state:36> place:24625",374,60,13,0,314,40,4,0,0,13,5
"Felts Mills CDP, New York: Summary level: 160, state:36> place:25571",382,12,0,0,370,55,0,0,0,0,44
"Fort Covington Hamlet CDP, New York: Summary level: 160, state:36> place:26752",1498,151,43,0,1347,321,38,2,2,66,35
"Fowlerville CDP, New York: Summary level: 160, state:36> place:27133",143,60,8,0,83,19,0,0,0,0,7
"Freedom Plains CDP, New York: Summary level: 160, state:36> place:27452",336,5,0,0,331,101,0,0,0,0,0
"Fishers Landing CDP, New York: Summary level: 160, state:36> place:25934",65,0,0,0,65,0,0,0,0,0,0
"Gates CDP, New York: Summary level: 160, state:36> place:28453",4945,290,117,0,4655,1098,44,0,0,42,143
"Gilgo CDP, New York: Summary level: 160, state:36> place:28990",206,0,0,0,206,0,0,0,0,0,0
"Worcester CDP, New York: Summary level: 160, state:36> place:83118",861,128,54,0,733,91,0,0,0,48,29
"Glen Aubrey CDP, New York: Summary level: 160, state:36> place:29058",288,41,5,0,247,23,4,0,0,4,9
"Grandyle Village CDP, New York: Summary level: 160, state:36> place:29894",4651,335,108,0,4316,1036,144,18,0,112,190
"Greigsville CDP, New York: Summary level: 160, state:36> place:30807",338,0,0,0,338,170,0,0,0,0,0
"Belle Terre village, New York: Summary level: 160, state:36> place:05672",666,24,5,0,642,162,5,0,3,8,15
"Bellport village, New York: Summary level: 160, state:36> place:05771",1944,88,34,0,1856,344,45,0,10,33,62
"Center Moriches CDP, New York: Summary level: 160, state:36> place:13420",8211,218,78,0,7993,2236,40,0,0,100,198
"Deer Park CDP, New York: Summary level: 160, state:36> place:19972",26191,1955,737,164,24236,5884,403,22,166,496,625
"Springs CDP, New York: Summary level: 160, state:36> place:70387",6772,796,326,0,5976,1164,168,0,0,69,174
"Terryville CDP, New York: Summary level: 160, state:36> place:73352",11865,1167,588,0,10698,2496,80,128,137,161,123
"Walton village, New York: Summary level: 160, state:36> place:78036",2972,742,316,11,2230,446,0,39,19,0,18
"Albany city, New York: Summary level: 160, state:36> place:01000",85375,19999,8485,493,65376,14260,875,861,1223,1804,1531
"Hoosick Falls village, New York: Summary level: 160, state:36> place:35474",3269,366,74,0,2903,696,88,0,0,24,154
"New York city, New York: Summary level: 160, state:36> place:51000",7982459,1490753,504133,32987,6491706,1444413,102607,70990,68332,205358,195928
"Bloomfield village, New York: Summary level: 160, state:36> place:06945",1437,165,31,0,1272,293,8,20,5,25,12
"Phelps village, New York: Summary level: 160, state:36> place:57518",1653,148,10,7,1505,351,48,26,0,31,67
"Falconer village, New York: Summary level: 160, state:36> place:25164",2335,295,95,0,2040,430,19,6,5,50,19
"Jamestown city, New York: Summary level: 160, state:36> place:38264",27962,8535,2827,135,19427,3834,311,603,366,486,488
"Silver Creek village, New York: Summary level: 160, state:36> place:67411",2255,331,111,0,1924,383,12,5,24,50,77
"Turin village, New York: Summary level: 160, state:36> place:75682",238,30,21,0,208,39,2,0,0,7,30
"Woodmere CDP, New York: Summary level: 160, state:36> place:82942",16334,698,331,0,15636,5547,402,17,20,747,677
"Plandome Manor village, New York: Summary level: 160, state:36> place:58497",759,22,5,0,737,240,34,0,0,41,17
"South Floral Park village, New York: Summary level: 160, state:36> place:69023",1904,114,60,0,1790,466,20,0,0,55,35
"Westbury village, New York: Summary level: 160, state:36> place:79444",14924,1074,410,52,13850,3039,133,40,12,336,286
"Woodsburgh village, New York: Summary level: 160, state:36> place:82986",747,33,12,2,714,182,4,2,0,10,7
"Clark Mills CDP, New York: Summary level: 160, state:36> place:15902",1558,186,8,0,1372,197,13,9,8,51,46
"Holland Patent village, New York: Summary level: 160, state:36> place:35144",338,42,42,9,296,49,0,9,0,0,0
"Oriskany Falls village, New York: Summary level: 160, state:36> place:55376",785,137,35,4,648,161,11,20,15,16,15
"Mechanicstown CDP, New York: Summary level: 160, state:36> place:46349",6426,1104,271,0,5322,1231,11,43,137,126,67
"Tuxedo Park village, New York: Summary level: 160, state:36> place:75803",586,31,5,0,555,133,3,0,0,6,2
"Washingtonville village, New York: Summary level: 160, state:36> place:78465",5673,241,44,0,5432,1648,156,0,0,96,132
"Phoenix village, New York: Summary level: 160, state:36> place:57661",2256,494,109,0,1762,384,18,47,29,117,64
"Sandy Creek village, New York: Summary level: 160, state:36> place:65068",741,88,30,1,653,147,15,1,7,19,34
"Balmville CDP, New York: Summary level: 160, state:36> place:04286",2961,298,28,0,2663,655,40,0,20,41,103
"Florida village, New York: Summary level: 160, state:36> place:26319",2724,79,31,0,2645,649,16,0,0,67,68
"Greenwood Lake village, New York: Summary level: 160, state:36> place:30752",2704,163,0,0,2541,261,22,0,0,171,241
"Middletown city, New York: Summary level: 160, state:36> place:47042",26722,4374,1617,65,22348,5411,293,194,180,641,455
"New Windsor CDP, New York: Summary level: 160, state:36> place:50837",8950,437,75,0,8513,1951,45,0,31,118,115
"Walden village, New York: Summary level: 160, state:36> place:77849",6593,549,143,0,6044,1899,62,26,33,34,192
"West Point CDP, New York: Summary level: 160, state:36> place:80747",3057,20,0,0,3037,1377,301,10,0,440,247
"Chester village, New York: Summary level: 160, state:36> place:15297",3932,275,79,13,3657,968,13,6,10,20,43
"Fishkill village, New York: Summary level: 160, state:36> place:25967",1887,188,55,0,1699,263,28,6,0,43,52
"Myers Corner CDP, New York: Summary level: 160, state:36> place:49363",6399,145,31,0,6254,1414,105,0,0,249,132
"Pine Plains CDP, New York: Summary level: 160, state:36> place:58145",1277,135,32,0,1142,220,8,9,24,29,31
"Arlington CDP, New York: Summary level: 160, state:36> place:02616",2285,485,166,35,1800,319,80,83,34,120,56
"Philmont village, New York: Summary level: 160, state:36> place:57639",1117,234,47,0,883,185,0,0,23,37,25
"Brighton CDP, New York: Summary level: 160, state:36> place:08257",33205,3296,1809,0,29909,6938,466,134,12,754,644
"Rochester city, New York: Summary level: 160, state:36> place:63000",191899,61285,25200,1617,130614,28052,1139,3550,3215,2966,3316
"Stony Point CDP, New York: Summary level: 160, state:36> place:71663",12571,885,515,40,11686,2904,192,0,23,322,239
"Sidney village, New York: Summary level: 160, state:36> place:67334",3891,966,402,0,2925,693,34,101,39,23,23
"Upper Nyack village, New York: Summary level: 160, state:36> place:76386",1956,43,0,0,1913,456,34,0,0,35,48
"Elba village, New York: Summary level: 160, state:36> place:23745",610,39,7,0,571,127,6,10,0,36,19
"Hudson city, New York: Summary level: 160, state:36> place:35969",5544,1161,303,20,4383,792,36,54,51,86,131
"Stottville CDP, New York: Summary level: 160, state:36> place:71718",1311,261,127,0,1050,204,0,15,42,8,11
"Brockport village, New York: Summary level: 160, state:36> place:08466",5317,1439,1006,8,3878,1050,10,15,0,222,8
"Honeoye Falls village, New York: Summary level: 160, state:36> place:35364",2659,310,135,0,2349,582,13,12,0,31,34
"Village of the Branch village, New York: Summary level: 160, state:36> place:77519",1732,46,6,0,1686,460,21,0,0,29,29
"Delevan village, New York: Summary level: 160, state:36> place:20115",982,272,76,6,710,196,13,9,5,10,3
"St. Bonaventure CDP, New York: Summary level: 160, state:36> place:64551",568,122,0,0,446,32,0,0,0,7,0
"Gloversville city, New York: Summary level: 160, state:36> place:29443",14020,3631,1114,80,10389,1678,221,180,159,387,303
"Mayfield village, New York: Summary level: 160, state:36> place:46206",751,40,6,2,711,161,15,0,2,23,31
"Sand Ridge CDP, New York: Summary level: 160, state:36> place:65024",546,33,0,0,513,104,0,0,0,11,0
"Vails Gate CDP, New York: Summary level: 160, state:36> place:76584",2932,216,76,0,2716,672,11,0,0,172,70
"Warwick village, New York: Summary level: 160, state:36> place:78355",6577,170,54,0,6407,1418,64,0,0,145,83
"Niverville CDP, New York: Summary level: 160, state:36> place:51297",1253,72,29,0,1181,294,35,0,0,33,11
"Irondequoit CDP, New York: Summary level: 160, state:36> place:37737",48356,3855,979,27,44501,8852,474,195,64,1104,1161
"Scottsville village, New York: Summary level: 160, state:36> place:65959",1922,291,100,0,1631,343,39,26,37,44,63
"Blauvelt CDP, New York: Summary level: 160, state:36> place:06860",5143,89,18,0,5054,1525,153,0,0,170,83
"Chestnut Ridge village, New York: Summary level: 160, state:36> place:15400",7479,858,344,26,6621,1809,139,73,109,359,343
"Haverstraw village, New York: Summary level: 160, state:36> place:32754",11408,1513,592,49,9895,2807,152,53,123,315,269
"Kaser village, New York: Summary level: 160, state:36> place:38934",4588,3426,2039,160,1162,613,85,404,445,101,98
"Montebello village, New York: Summary level: 160, state:36> place:48090",4535,86,0,0,4449,1338,72,0,0,49,123
"New City CDP, New York: Summary level: 160, state:36> place:50100",33543,1357,396,0,32186,7996,552,6,9,846,720
"Pomona village, New York: Summary level: 160, state:36> place:58992",2852,200,104,4,2652,617,72,4,0,117,70
"Heuvelton village, New York: Summary level: 160, state:36> place:34264",676,61,17,0,615,116,11,3,0,18,21
"Dolgeville village, New York: Summary level: 160, state:36> place:20731",2463,447,201,21,2016,423,9,35,41,24,76
"Herkimer village, New York: Summary level: 160, state:36> place:34121",6120,990,243,41,5130,943,64,153,32,103,71
"Middleville village, New York: Summary level: 160, state:36> place:47108",536,28,25,0,508,148,0,0,0,14,27
"Beacon city, New York: Summary level: 160, state:36> place:05100",12930,1085,295,21,11845,2444,229,43,59,398,300
"Victor village, New York: Summary level: 160, state:36> place:77376",2660,75,7,0,2585,661,31,0,0,31,61
"Schaghticoke village, New York: Summary level: 160, state:36> place:65475",633,109,48,18,524,102,5,0,18,21,3
"Wynantskill CDP, New York: Summary level: 160, state:36> place:83349",3243,61,0,0,3182,754,63,0,0,143,92
"Union Springs village, New York: Summary level: 160, state:36> place:76155",1086,122,73,0,964,221,22,0,6,32,17
"Colonie village, New York: Summary level: 160, state:36> place:17332",7620,287,62,0,7333,1442,141,9,9,196,164
"Weston Mills CDP, New York: Summary level: 160, state:36> place:80632",1357,99,0,0,1258,225,6,14,0,8,0
"Clayton village, New York: Summary level: 160, state:36> place:16089",1944,206,60,0,1738,313,7,12,0,60,43
"Deferiet village, New York: Summary level: 160, state:36> place:19994",275,68,39,9,207,47,3,14,7,5,3
"Depauville CDP, New York: Summary level: 160, state:36> place:20302",382,115,42,0,267,42,0,0,0,0,0
"Evans Mills village, New York: Summary level: 160, state:36> place:24823",468,43,8,0,425,83,2,0,2,10,9
"Port Ewen CDP, New York: Summary level: 160, state:36> place:59311",3356,223,27,20,3133,472,17,19,20,17,102
"Saugerties South CDP, New York: Summary level: 160, state:36> place:65310",1735,116,37,0,1619,275,0,30,0,61,10
"Stone Ridge CDP, New York: Summary level: 160, state:36> place:71597",1119,83,15,0,1036,204,0,0,0,37,24
"Wallkill CDP, New York: Summary level: 160, state:36> place:78003",1983,58,0,0,1925,385,24,0,0,91,13
"West Hurley CDP, New York: Summary level: 160, state:36> place:80291",1812,177,37,0,1635,174,0,0,0,59,21
"Woodstock CDP, New York: Summary level: 160, state:36> place:83041",2083,614,198,0,1469,190,27,0,0,27,52
"Cambridge village, New York: Summary level: 160, state:36> place:11825",1765,201,8,0,1564,406,56,0,0,64,47
"Hudson Falls village, New York: Summary level: 160, state:36> place:35980",6783,1238,288,57,5545,1190,105,134,119,185,118
"Waterford village, New York: Summary level: 160, state:36> place:78520",1993,243,49,0,1750,336,12,0,29,33,58
"Lake George village, New York: Summary level: 160, state:36> place:40508",1013,107,32,0,906,141,19,0,0,6,30
"Chateaugay village, New York: Summary level: 160, state:36> place:13981",703,207,75,7,496,73,0,6,12,9,6
"Malone village, New York: Summary level: 160, state:36> place:44710",5308,1731,479,57,3577,543,91,62,180,117,65
"Aquebogue CDP, New York: Summary level: 160, state:36> place:02374",1657,60,0,0,1597,202,6,0,0,38,22
"Bridgehampton CDP, New York: Summary level: 160, state:36> place:08136",1296,53,0,0,1243,237,20,0,0,45,29
"Little Valley village, New York: Summary level: 160, state:36> place:42829",986,161,41,4,825,159,10,12,12,40,23
"Centerport CDP, New York: Summary level: 160, state:36> place:13442",5159,185,41,0,4974,1361,112,0,0,79,123
"Dix Hills CDP, New York: Summary level: 160, state:36> place:20687",25826,841,369,9,24985,6671,402,9,0,770,511
"West Babylon CDP, New York: Summary level: 160, state:36> place:79246",41085,1948,497,55,39137,9649,612,192,45,925,951
"Brownville village, New York: Summary level: 160, state:36> place:10231",1035,34,11,0,1001,266,5,0,0,8,10
"North Lindenhurst CDP, New York: Summary level: 160, state:36> place:53198",10079,756,237,0,9323,1949,234,65,0,314,342
"Riverhead CDP, New York: Summary level: 160, state:36> place:61973",13340,2154,649,0,11186,1703,129,0,136,285,111
"South Huntington CDP, New York: Summary level: 160, state:36> place:69254",9454,922,136,0,8532,1909,241,14,0,224,353
"Shinnecock Hills CDP, New York: Summary level: 160, state:36> place:67048",2311,230,43,0,2081,275,35,0,0,35,14
"Flanders CDP, New York: Summary level: 160, state:36> place:26121",4336,585,396,0,3751,745,60,0,131,280,166
"Fort Edward village, New York: Summary level: 160, state:36> place:26770",3242,351,65,0,2891,712,18,0,0,71,47
"Stillwater village, New York: Summary level: 160, state:36> place:71322",1896,127,35,0,1769,466,16,0,0,35,38
"West Glens Falls CDP, New York: Summary level: 160, state:36> place:80082",6544,604,108,23,5940,1354,51,23,0,99,133
"Great River CDP, New York: Summary level: 160, state:36> place:30235",1343,85,0,0,1258,426,14,0,0,18,29
"Hauppauge CDP, New York: Summary level: 160, state:36> place:32732",18982,677,70,0,18305,4249,301,39,0,545,507
"Lindenhurst village, New York: Summary level: 160, state:36> place:42554",26088,1607,367,18,24481,5322,319,0,91,803,422
"Oakfield village, New York: Summary level: 160, state:36> place:54155",1687,194,66,6,1493,377,29,0,6,45,50
"Briarcliff Manor village, New York: Summary level: 160, state:36> place:08103",7015,196,25,0,6819,1810,161,0,0,203,146
"Bronxville village, New York: Summary level: 160, state:36> place:08532",5963,287,137,7,5676,1953,161,0,0,105,217
"Centre Island village, New York: Summary level: 160, state:36> place:13618",472,30,6,0,442,116,0,0,0,0,0
"Chittenango village, New York: Summary level: 160, state:36> place:15561",4662,278,52,0,4384,1111,17,6,6,101,133
"Larchmont village, New York: Summary level: 160, state:36> place:41333",5842,166,68,0,5676,1730,248,17,0,230,264
"Mount Kisco village, New York: Summary level: 160, state:36> place:48890",10474,765,136,0,9709,2416,131,24,0,364,172
"Pleasantville village, New York: Summary level: 160, state:36> place:58728",6693,170,0,0,6523,1825,235,0,0,246,179
"Atlantic Beach village, New York: Summary level: 160, state:36> place:02968",1382,32,11,0,1350,249,10,0,0,11,17
"Baldwin CDP, New York: Summary level: 160, state:36> place:04143",24260,1478,544,118,22782,6333,275,97,46,487,779
"Cedarhurst village, New York: Summary level: 160, state:36> place:13233",6142,256,32,14,5886,1907,139,14,0,343,359
"East Massapequa CDP, New York: Summary level: 160, state:36> place:22480",17642,849,274,0,16793,3904,237,15,32,468,343
"Garden City South CDP, New York: Summary level: 160, state:36> place:28200",4218,247,139,0,3971,1034,120,0,0,163,113
"Great Neck village, New York: Summary level: 160, state:36> place:30169",9617,711,269,76,8906,2799,304,71,83,499,418
"Kings Point village, New York: Summary level: 160, state:36> place:39694",4432,112,27,13,4320,1306,128,13,13,216,85
"Peru CDP, New York: Summary level: 160, state:36> place:57364",1437,121,0,0,1316,335,0,0,0,0,54
"Plattsburgh city, New York: Summary level: 160, state:36> place:58574",15949,4090,1606,63,11859,2094,75,146,100,203,239
"Watervliet city, New York: Summary level: 160, state:36> place:78674",9762,1712,460,39,8050,1840,94,96,101,211,158
"East Hills village, New York: Summary level: 160, state:36> place:22260",6984,95,32,0,6889,2181,173,0,0,168,160
"Farmingdale village, New York: Summary level: 160, state:36> place:25384",8448,530,99,34,7918,1496,91,34,10,129,218
"Glenwood Landing CDP, New York: Summary level: 160, state:36> place:29421",3798,164,61,0,3634,1181,0,0,0,98,14
"Great Neck Gardens CDP, New York: Summary level: 160, state:36> place:30202",1144,0,0,0,1144,461,58,0,0,28,60
"Inwood CDP, New York: Summary level: 160, state:36> place:37583",9442,1300,485,24,8142,2201,137,24,152,272,176
"Massapequa Park village, New York: Summary level: 160, state:36> place:45997",16720,366,64,7,16354,4417,330,7,0,332,383
"North New Hyde Park CDP, New York: Summary level: 160, state:36> place:53275",15292,276,34,0,15016,3987,170,0,0,417,362
"Old Westbury village, New York: Summary level: 160, state:36> place:54705",3413,69,35,0,3344,1049,71,0,0,51,66
"Plandome Heights village, New York: Summary level: 160, state:36> place:58486",936,13,0,0,923,281,32,0,0,18,30
"South Hempstead CDP, New York: Summary level: 160, state:36> place:69188",2969,99,34,0,2870,762,106,0,0,189,42
"Margaretville village, New York: Summary level: 160, state:36> place:45557",462,63,10,0,399,60,9,0,0,0,17
"South Valley Stream CDP, New York: Summary level: 160, state:36> place:69892",6626,170,59,0,6456,1669,96,8,0,322,177
"Upper Brookville village, New York: Summary level: 160, state:36> place:76331",1596,18,4,0,1578,341,6,4,4,11,9
"Williston Park village, New York: Summary level: 160, state:36> place:82117",7096,195,32,0,6901,1877,116,43,0,171,169
"Woodbury CDP, New York: Summary level: 160, state:36> place:82744",7398,228,54,0,7170,1756,176,0,0,158,258
"New York Mills village, New York: Summary level: 160, state:36> place:51011",3265,502,117,19,2763,583,20,0,20,0,97
"Oriskany village, New York: Summary level: 160, state:36> place:55365",1128,142,34,0,986,161,4,11,7,30,5
"Rome city, New York: Summary level: 160, state:36> place:63418",29028,5474,1287,177,23554,4614,199,340,437,786,563
"Fayetteville village, New York: Summary level: 160, state:36> place:25527",4036,200,96,0,3836,951,54,0,0,98,75
"Canton village, New York: Summary level: 160, state:36> place:12331",3081,593,327,0,2488,626,61,9,0,60,40
"Bardonia CDP, New York: Summary level: 160, state:36> place:04396",3732,79,15,0,3653,929,47,0,0,110,88
"Piermont village, New York: Summary level: 160, state:36> place:57749",2488,137,27,0,2351,424,38,0,0,50,83
"Sloatsburg village, New York: Summary level: 160, state:36> place:67708",3048,229,56,0,2819,913,34,0,0,77,19
"Massena village, New York: Summary level: 160, state:36> place:46019",9414,1723,430,14,7691,1633,53,71,96,88,306
"Potsdam village, New York: Summary level: 160, state:36> place:59564",4460,1076,678,0,3384,845,66,12,8,59,94
"Unadilla village, New York: Summary level: 160, state:36> place:76001",1035,166,56,5,869,182,6,2,6,42,23
"Highland CDP, New York: Summary level: 160, state:36> place:34484",5145,742,199,0,4403,931,55,42,14,60,158
"Lincoln Park CDP, New York: Summary level: 160, state:36> place:42488",2025,421,113,0,1604,181,13,91,35,27,56
"Marlboro CDP, New York: Summary level: 160, state:36> place:45700",3478,237,9,0,3241,756,73,0,0,114,87
"New Paltz village, New York: Summary level: 160, state:36> place:50551",4219,1480,1230,0,2739,750,53,0,0,42,66
"Pine Hill CDP, New York: Summary level: 160, state:36> place:58057",160,54,0,0,106,9,0,0,0,0,0
"Deposit village, New York: Summary level: 160, state:36> place:20346",1577,329,122,3,1248,256,39,9,21,42,55
"Corinth village, New York: Summary level: 160, state:36> place:18212",2409,355,92,25,2054,447,29,45,11,84,48
"North Ballston Spa CDP, New York: Summary level: 160, state:36> place:51467",1474,113,0,0,1361,218,0,0,0,0,65
"East Greenbush CDP, New York: Summary level: 160, state:36> place:22106",4529,147,18,0,4382,1052,52,0,0,101,31
"Thornwood CDP, New York: Summary level: 160, state:36> place:73715",3978,114,37,11,3864,1217,79,11,0,119,77
"White Plains city, New York: Summary level: 160, state:36> place:81677",55333,6315,1846,78,49018,10097,840,156,182,1336,1319
"Canajoharie village, New York: Summary level: 160, state:36> place:12111",1829,444,79,10,1385,356,20,5,14,31,21
"Duane Lake CDP, New York: Summary level: 160, state:36> place:20989",231,0,0,0,231,63,0,0,0,29,0
"East Glenville CDP, New York: Summary level: 160, state:36> place:22084",6028,265,56,9,5763,1460,49,46,0,110,64
"Scotia village, New York: Summary level: 160, state:36> place:65893",7507,940,477,20,6567,1517,136,0,40,159,315
"Northville village, New York: Summary level: 160, state:36> place:53770",1161,222,96,9,939,251,4,0,9,29,41
"Cleveland village, New York: Summary level: 160, state:36> place:16188",663,72,26,3,591,101,0,4,0,4,14
"Mexico village, New York: Summary level: 160, state:36> place:46811",1510,255,109,7,1255,254,26,33,2,24,39
"Monticello village, New York: Summary level: 160, state:36> place:48175",5958,1545,348,16,4413,943,51,32,52,298,135
"Goshen village, New York: Summary level: 160, state:36> place:29542",4906,505,163,0,4401,1140,61,23,30,200,147
"Highland Falls village, New York: Summary level: 160, state:36> place:34495",3653,131,16,0,3522,672,44,0,0,132,123
"Maybrook village, New York: Summary level: 160, state:36> place:46162",3297,361,56,0,2936,674,23,0,0,89,29
"Lacona village, New York: Summary level: 160, state:36> place:40200",703,137,44,2,566,116,7,0,10,10,10
"Minetto CDP, New York: Summary level: 160, state:36> place:47680",1029,120,30,0,909,191,7,0,0,0,28
"Liberty village, New York: Summary level: 160, state:36> place:42224",3766,832,141,0,2934,707,98,0,69,170,83
"Monroe village, New York: Summary level: 160, state:36> place:47988",8060,188,52,0,7872,2174,198,0,0,490,353
"Smallwood CDP, New York: Summary level: 160, state:36> place:67730",615,24,0,0,591,137,0,0,0,0,0
"Wurtsboro village, New York: Summary level: 160, state:36> place:83272",1069,97,16,0,972,189,13,0,11,30,14
"Montgomery village, New York: Summary level: 160, state:36> place:48142",4446,233,63,0,4213,898,104,0,15,58,74
"Newburgh city, New York: Summary level: 160, state:36> place:50034",25858,7320,2809,122,18538,4952,341,469,724,823,547
"Unionville village, New York: Summary level: 160, state:36> place:76210",690,55,9,0,635,107,0,9,10,25,11
"Washington Heights CDP, New York: Summary level: 160, state:36> place:78421",2227,52,30,0,2175,621,151,0,0,136,102
"Verplanck CDP, New York: Summary level: 160, state:36> place:77211",1266,74,55,0,1192,240,14,0,0,36,24
"Phoenicia CDP, New York: Summary level: 160, state:36> place:57650",249,49,12,0,200,0,0,0,0,0,0
"Athens village, New York: Summary level: 160, state:36> place:02902",1544,191,30,0,1353,187,7,0,0,8,26
"Accord CDP, New York: Summary level: 160, state:36> place:00155",501,33,0,0,468,113,0,0,0,20,0
"Napanoch CDP, New York: Summary level: 160, state:36> place:49418",991,18,0,0,973,260,0,0,0,0,0
"Head of the Harbor village, New York: Summary level: 160, state:36> place:32963",1438,84,34,0,1354,341,31,0,0,27,16
"Saratoga Springs city, New York: Summary level: 160, state:36> place:65255",24385,1259,271,9,23126,4300,408,0,9,589,548
"Owego village, New York: Summary level: 160, state:36> place:55882",3593,645,173,26,2948,751,27,38,66,81,99
"Fort Ann village, New York: Summary level: 160, state:36> place:26704",337,28,14,9,309,61,1,5,4,3,5
"Lake Success village, New York: Summary level: 160, state:36> place:40937",2547,90,26,0,2457,735,22,0,0,40,9
"Pottersville CDP, New York: Summary level: 160, state:36> place:59619",274,92,45,0,182,20,0,0,0,0,0
"Prattsburgh CDP, New York: Summary level: 160, state:36> place:59708",898,42,0,0,856,260,16,0,0,47,17
"Prattsville CDP, New York: Summary level: 160, state:36> place:59740",199,27,0,0,172,3,0,0,0,0,0
"Pultneyville CDP, New York: Summary level: 160, state:36> place:59993",645,0,0,0,645,131,12,0,0,20,16
"Retsof CDP, New York: Summary level: 160, state:36> place:61236",162,6,0,0,156,60,0,0,0,9,0
"Rhinecliff CDP, New York: Summary level: 160, state:36> place:61368",449,0,0,0,449,200,24,0,0,29,1
