,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Crompond CDP, New York: Summary level: 160, state:36> place:19092",1914,31,0,0,1883,512,9,0,0,59,0
"Croton-on-Hudson village, New York: Summary level: 160, state:36> place:19213",7739,303,102,0,7436,2128,180,0,0,238,228
"Crown Heights CDP, New York: Summary level: 160, state:36> place:19229",2622,212,63,0,2410,646,23,31,6,12,50
"Crugers CDP, New York: Summary level: 160, state:36> place:19290",1514,96,0,0,1418,195,8,0,0,8,0
"Crystal Beach CDP, New York: Summary level: 160, state:36> place:19308",528,147,25,0,381,91,0,0,0,0,0
"Cuba village, New York: Summary level: 160, state:36> place:19356",1479,241,40,10,1238,291,19,38,8,25,24
"Cumberland Head CDP, New York: Summary level: 160, state:36> place:19408",1525,64,5,0,1461,349,62,45,0,45,42
"Cumminsville CDP, New York: Summary level: 160, state:36> place:19411",151,38,0,0,113,6,0,0,0,0,0
"Cutchogue CDP, New York: Summary level: 160, state:36> place:19466",3154,131,75,0,3023,593,67,0,0,54,100
"Cuylerville CDP, New York: Summary level: 160, state:36> place:19510",375,46,0,0,329,70,0,35,19,0,0
"Dalton CDP, New York: Summary level: 160, state:36> place:19587",345,17,4,0,328,68,0,0,0,2,34
"Dannemora village, New York: Summary level: 160, state:36> place:19642",906,137,52,8,769,189,3,8,0,13,18
"Dansville village, New York: Summary level: 160, state:36> place:19664",4590,934,325,0,3656,852,39,10,12,65,59
"Davenport Center CDP, New York: Summary level: 160, state:36> place:19774",369,10,0,0,359,31,0,0,0,0,0
"Deer Park CDP, New York: Summary level: 160, state:36> place:19972",26602,1920,652,0,24682,6866,294,34,10,626,743
"Deferiet village, New York: Summary level: 160, state:36> place:19994",262,16,0,0,246,61,0,3,0,5,2
"DeKalb Junction CDP, New York: Summary level: 160, state:36> place:20049",360,39,0,0,321,45,0,0,0,6,0
"Delanson village, New York: Summary level: 160, state:36> place:20082",351,18,0,0,333,64,0,0,0,7,16
"Delevan village, New York: Summary level: 160, state:36> place:20115",1142,188,53,15,954,228,19,43,12,36,46
