,Total,Owner occupied,Renter occupied
"Mineola village, New York: Summary level: 160, state:36> place:47636",7239,4849,2390
"Minetto CDP, New York: Summary level: 160, state:36> place:47680",377,302,75
"Mineville CDP, New York: Summary level: 160, state:36> place:47702",359,300,59
"Minoa village, New York: Summary level: 160, state:36> place:47757",1551,1260,291
"Mohawk village, New York: Summary level: 160, state:36> place:47823",1114,726,388
"Accord CDP, New York: Summary level: 160, state:36> place:00155",227,127,100
"Adams village, New York: Summary level: 160, state:36> place:00199",771,457,314
"Adams Center CDP, New York: Summary level: 160, state:36> place:00232",882,631,251
"Addison village, New York: Summary level: 160, state:36> place:00276",749,542,207
"Afton village, New York: Summary level: 160, state:36> place:00342",423,291,132
"Airmont village, New York: Summary level: 160, state:36> place:00408",2719,2229,490
"Akron village, New York: Summary level: 160, state:36> place:00441",1191,701,490
"Albany city, New York: Summary level: 160, state:36> place:01000",39868,15570,24298
"Albertson CDP, New York: Summary level: 160, state:36> place:01011",1764,1719,45
"Albion village, New York: Summary level: 160, state:36> place:01033",2230,1276,954
"Theresa village, New York: Summary level: 160, state:36> place:73517",374,246,128
"Thiells CDP, New York: Summary level: 160, state:36> place:73583",1593,1465,128
"Thomaston village, New York: Summary level: 160, state:36> place:73605",1014,828,186
"Thornwood CDP, New York: Summary level: 160, state:36> place:73715",1269,842,427
"Thousand Island Park CDP, New York: Summary level: 160, state:36> place:73726",30,30,0
"Three Mile Bay CDP, New York: Summary level: 160, state:36> place:73737",67,41,26
"Ticonderoga CDP, New York: Summary level: 160, state:36> place:73880",1595,1017,578
"Tillson CDP, New York: Summary level: 160, state:36> place:73902",593,499,94
"Titusville CDP, New York: Summary level: 160, state:36> place:74017",226,226,0
"Tivoli village, New York: Summary level: 160, state:36> place:74023",412,233,179
"Tonawanda city, New York: Summary level: 160, state:36> place:74166",6713,4802,1911
"Tonawanda CDP, New York: Summary level: 160, state:36> place:74183",25439,18561,6878
"Town Line CDP, New York: Summary level: 160, state:36> place:75121",1086,933,153
"Tribes Hill CDP, New York: Summary level: 160, state:36> place:75341",464,455,9
"Troy city, New York: Summary level: 160, state:36> place:75484",20171,7783,12388
"Trumansburg village, New York: Summary level: 160, state:36> place:75506",761,440,321
"Tuckahoe CDP, New York: Summary level: 160, state:36> place:75572",479,345,134
"Tuckahoe village, New York: Summary level: 160, state:36> place:75583",2660,1374,1286
"Tully village, New York: Summary level: 160, state:36> place:75627",374,192,182
"Tupper Lake village, New York: Summary level: 160, state:36> place:75671",1527,938,589
"Turin village, New York: Summary level: 160, state:36> place:75682",75,68,7
"Tuscarora CDP, New York: Summary level: 160, state:36> place:75726",9,9,0
"Tuxedo Park village, New York: Summary level: 160, state:36> place:75803",226,199,27
"Unadilla village, New York: Summary level: 160, state:36> place:76001",440,355,85
"Uniondale CDP, New York: Summary level: 160, state:36> place:76089",5986,4633,1353
"Union Springs village, New York: Summary level: 160, state:36> place:76155",434,321,113
"Unionville village, New York: Summary level: 160, state:36> place:76210",197,166,31
"University at Buffalo CDP, New York: Summary level: 160, state:36> place:76280",150,0,150
"University Gardens CDP, New York: Summary level: 160, state:36> place:76287",1518,1404,114
"Upper Brookville village, New York: Summary level: 160, state:36> place:76331",485,448,37
"Upper Nyack village, New York: Summary level: 160, state:36> place:76386",723,641,82
"Utica city, New York: Summary level: 160, state:36> place:76540",24041,11460,12581
"Vails Gate CDP, New York: Summary level: 160, state:36> place:76584",1505,767,738
"Valatie village, New York: Summary level: 160, state:36> place:76617",542,284,258
"Valhalla CDP, New York: Summary level: 160, state:36> place:76639",1157,893,264
"Valley Cottage CDP, New York: Summary level: 160, state:36> place:76661",3473,2748,725
"Valley Falls village, New York: Summary level: 160, state:36> place:76672",202,148,54
"Valley Stream village, New York: Summary level: 160, state:36> place:76705",11373,9113,2260
"Van Etten village, New York: Summary level: 160, state:36> place:76881",221,173,48
"Vernon village, New York: Summary level: 160, state:36> place:77112",460,241,219
"Verona CDP, New York: Summary level: 160, state:36> place:77167",270,270,0
"Verplanck CDP, New York: Summary level: 160, state:36> place:77211",566,239,327
"Victor village, New York: Summary level: 160, state:36> place:77376",1016,700,316
"Victory village, New York: Summary level: 160, state:36> place:77431",205,166,39
"Village Green CDP, New York: Summary level: 160, state:36> place:77513",1939,999,940
"Village of the Branch village, New York: Summary level: 160, state:36> place:77519",561,518,43
"Viola CDP, New York: Summary level: 160, state:36> place:77574",1743,1137,606
"Voorheesville village, New York: Summary level: 160, state:36> place:77684",1078,868,210
"Waddington village, New York: Summary level: 160, state:36> place:77728",365,253,112
"Wading River CDP, New York: Summary level: 160, state:36> place:77772",2777,2582,195
"Wadsworth CDP, New York: Summary level: 160, state:36> place:77783",72,72,0
"Wainscott CDP, New York: Summary level: 160, state:36> place:77805",287,203,84
"Walden village, New York: Summary level: 160, state:36> place:77849",2580,1620,960
"Walker Valley CDP, New York: Summary level: 160, state:36> place:77948",320,278,42
"Wallkill CDP, New York: Summary level: 160, state:36> place:78003",846,519,327
"Walton village, New York: Summary level: 160, state:36> place:78036",1414,723,691
"Walton Park CDP, New York: Summary level: 160, state:36> place:78063",763,742,21
"Wampsville village, New York: Summary level: 160, state:36> place:78113",213,201,12
"Wanakah CDP, New York: Summary level: 160, state:36> place:78124",1344,1209,135
"Wantagh CDP, New York: Summary level: 160, state:36> place:78146",5973,5717,256
"Wappingers Falls village, New York: Summary level: 160, state:36> place:78168",2180,799,1381
"Warrensburg CDP, New York: Summary level: 160, state:36> place:78289",1300,940,360
"Warsaw village, New York: Summary level: 160, state:36> place:78333",1555,885,670
"Warwick village, New York: Summary level: 160, state:36> place:78355",2942,1868,1074
"Washington Heights CDP, New York: Summary level: 160, state:36> place:78421",637,524,113
"Washington Mills CDP, New York: Summary level: 160, state:36> place:78454",407,165,242
"Washingtonville village, New York: Summary level: 160, state:36> place:78465",2105,1595,510
"Watchtower CDP, New York: Summary level: 160, state:36> place:78487",34,0,34
"Waterford village, New York: Summary level: 160, state:36> place:78520",983,511,472
"Waterloo village, New York: Summary level: 160, state:36> place:78553",2044,1484,560
"Water Mill CDP, New York: Summary level: 160, state:36> place:78575",812,770,42
"Watertown city, New York: Summary level: 160, state:36> place:78608",11687,4861,6826
"Waterville village, New York: Summary level: 160, state:36> place:78663",601,350,251
"Watervliet city, New York: Summary level: 160, state:36> place:78674",4860,1901,2959
"Watkins Glen village, New York: Summary level: 160, state:36> place:78696",885,478,407
"Waverly village, New York: Summary level: 160, state:36> place:78806",1854,954,900
"Wayland village, New York: Summary level: 160, state:36> place:78850",694,404,290
"Webster village, New York: Summary level: 160, state:36> place:78960",2461,1036,1425
"Websters Crossing CDP, New York: Summary level: 160, state:36> place:78982",14,14,0
"Weedsport village, New York: Summary level: 160, state:36> place:79015",749,538,211
"Wellsburg village, New York: Summary level: 160, state:36> place:79081",233,173,60
"Wellsville village, New York: Summary level: 160, state:36> place:79092",2052,1076,976
"Wesley Hills village, New York: Summary level: 160, state:36> place:79174",1569,1420,149
"West Babylon CDP, New York: Summary level: 160, state:36> place:79246",14218,10946,3272
"West Bay Shore CDP, New York: Summary level: 160, state:36> place:79301",1656,1524,132
"Westbury village, New York: Summary level: 160, state:36> place:79444",4927,3708,1219
"West Carthage village, New York: Summary level: 160, state:36> place:79499",801,375,426
"West Chazy CDP, New York: Summary level: 160, state:36> place:79543",249,215,34
"West Elmira CDP, New York: Summary level: 160, state:36> place:79785",2133,1830,303
"West End CDP, New York: Summary level: 160, state:36> place:79796",791,679,112
"Westfield village, New York: Summary level: 160, state:36> place:79939",1462,1137,325
"West Glens Falls CDP, New York: Summary level: 160, state:36> place:80082",2857,2195,662
"Westhampton CDP, New York: Summary level: 160, state:36> place:80170",1127,902,225
"Westhampton Beach village, New York: Summary level: 160, state:36> place:80181",952,682,270
"West Hampton Dunes village, New York: Summary level: 160, state:36> place:80186",20,18,2
"West Haverstraw village, New York: Summary level: 160, state:36> place:80203",2989,1975,1014
"West Hempstead CDP, New York: Summary level: 160, state:36> place:80225",5912,5006,906
"West Hills CDP, New York: Summary level: 160, state:36> place:80258",1991,1791,200
"West Hurley CDP, New York: Summary level: 160, state:36> place:80291",919,889,30
"West Islip CDP, New York: Summary level: 160, state:36> place:80302",8883,8294,589
"Westmere CDP, New York: Summary level: 160, state:36> place:80423",3065,1736,1329
"Westmoreland CDP, New York: Summary level: 160, state:36> place:80522",111,111,0
"West Nyack CDP, New York: Summary level: 160, state:36> place:80599",1129,1094,35
"Weston Mills CDP, New York: Summary level: 160, state:36> place:80632",607,441,166
"West Point CDP, New York: Summary level: 160, state:36> place:80747",685,10,675
"Westport CDP, New York: Summary level: 160, state:36> place:80764",209,163,46
"West Sand Lake CDP, New York: Summary level: 160, state:36> place:80863",997,906,91
"West Sayville CDP, New York: Summary level: 160, state:36> place:80885",1637,1378,259
"West Seneca CDP, New York: Summary level: 160, state:36> place:80907",18726,14489,4237
"Westvale CDP, New York: Summary level: 160, state:36> place:81127",2036,1966,70
"West Valley CDP, New York: Summary level: 160, state:36> place:81138",200,126,74
"West Winfield village, New York: Summary level: 160, state:36> place:81292",317,222,95
"Wheatley Heights CDP, New York: Summary level: 160, state:36> place:81419",1461,1164,297
"Whitehall village, New York: Summary level: 160, state:36> place:81622",1227,619,608
"White Plains city, New York: Summary level: 160, state:36> place:81677",22085,11791,10294
"Whitesboro village, New York: Summary level: 160, state:36> place:81710",1703,982,721
"Whitney Point village, New York: Summary level: 160, state:36> place:81831",347,219,128
"Williamson CDP, New York: Summary level: 160, state:36> place:82029",967,735,232
"Williamsville village, New York: Summary level: 160, state:36> place:82084",2570,1609,961
"Williston Park village, New York: Summary level: 160, state:36> place:82117",2580,2047,533
"Willsboro CDP, New York: Summary level: 160, state:36> place:82260",314,249,65
"Wilmington CDP, New York: Summary level: 160, state:36> place:82304",392,256,136
"Wilson village, New York: Summary level: 160, state:36> place:82359",517,356,161
"Windham CDP, New York: Summary level: 160, state:36> place:82469",206,139,67
"Windsor village, New York: Summary level: 160, state:36> place:82524",358,227,131
"Winthrop CDP, New York: Summary level: 160, state:36> place:82612",158,142,16
"Witherbee CDP, New York: Summary level: 160, state:36> place:82656",162,75,87
"Wolcott village, New York: Summary level: 160, state:36> place:82678",634,365,269
"Woodbury CDP, New York: Summary level: 160, state:36> place:82744",3072,2673,399
"Woodbury village, New York: Summary level: 160, state:36> place:82750",3453,3040,413
"Woodmere CDP, New York: Summary level: 160, state:36> place:82942",5077,4603,474
"Woodridge village, New York: Summary level: 160, state:36> place:82953",369,149,220
"Woodsburgh village, New York: Summary level: 160, state:36> place:82986",259,247,12
"Woodstock CDP, New York: Summary level: 160, state:36> place:83041",1192,927,265
"Woodsville CDP, New York: Summary level: 160, state:36> place:83063",21,13,8
"Worcester CDP, New York: Summary level: 160, state:36> place:83118",552,451,101
"Wurtsboro village, New York: Summary level: 160, state:36> place:83272",467,276,191
"Wyandanch CDP, New York: Summary level: 160, state:36> place:83294",2992,1850,1142
"Wynantskill CDP, New York: Summary level: 160, state:36> place:83349",1227,1125,102
"Wyoming village, New York: Summary level: 160, state:36> place:83371",147,115,32
"Yaphank CDP, New York: Summary level: 160, state:36> place:83426",1688,1538,150
"Yonkers city, New York: Summary level: 160, state:36> place:84000",72855,34523,38332
"York Hamlet CDP, New York: Summary level: 160, state:36> place:84035",280,209,71
"Yorkshire CDP, New York: Summary level: 160, state:36> place:84044",552,385,167
"Yorktown Heights CDP, New York: Summary level: 160, state:36> place:84088",677,521,156
"Yorkville village, New York: Summary level: 160, state:36> place:84099",1111,759,352
"Youngstown village, New York: Summary level: 160, state:36> place:84143",824,655,169
"Zena CDP, New York: Summary level: 160, state:36> place:84187",399,380,19
"Ovid village, New York: Summary level: 160, state:36> place:55816",224,165,59
"Owego village, New York: Summary level: 160, state:36> place:55882",1696,955,741
"Oxbow CDP, New York: Summary level: 160, state:36> place:55937",44,41,3
"Oxford village, New York: Summary level: 160, state:36> place:55948",558,446,112
"Oyster Bay CDP, New York: Summary level: 160, state:36> place:55992",2683,1542,1141
"Oyster Bay Cove village, New York: Summary level: 160, state:36> place:56011",684,644,40
"Painted Post village, New York: Summary level: 160, state:36> place:56088",788,490,298
"Palatine Bridge village, New York: Summary level: 160, state:36> place:56110",326,208,118
"Palenville CDP, New York: Summary level: 160, state:36> place:56132",418,303,115
"Palmyra village, New York: Summary level: 160, state:36> place:56187",1502,760,742
"Pamelia Center CDP, New York: Summary level: 160, state:36> place:56212",76,53,23
"Panama village, New York: Summary level: 160, state:36> place:56231",203,152,51
"Parc CDP, New York: Summary level: 160, state:36> place:56291",4,4,0
"Parish village, New York: Summary level: 160, state:36> place:56341",185,132,53
"Parishville CDP, New York: Summary level: 160, state:36> place:56363",396,312,84
"Patchogue village, New York: Summary level: 160, state:36> place:56660",4633,2543,2090
"Paul Smiths CDP, New York: Summary level: 160, state:36> place:56770",0,0,0
"Pavilion CDP, New York: Summary level: 160, state:36> place:56781",179,169,10
"Pawling village, New York: Summary level: 160, state:36> place:56814",899,520,379
"Peach Lake CDP, New York: Summary level: 160, state:36> place:56869",627,538,89
"Pearl River CDP, New York: Summary level: 160, state:36> place:56902",5579,4556,1023
"Peconic CDP, New York: Summary level: 160, state:36> place:56968",199,175,24
"Peekskill city, New York: Summary level: 160, state:36> place:56979",9273,4867,4406
"Pelham village, New York: Summary level: 160, state:36> place:57001",2216,1494,722
"Pelham Manor village, New York: Summary level: 160, state:36> place:57023",1794,1682,112
"Penn Yan village, New York: Summary level: 160, state:36> place:57177",2129,1258,871
"Perry village, New York: Summary level: 160, state:36> place:57243",1377,852,525
"Perrysburg CDP, New York: Summary level: 160, state:36> place:57287",148,97,51
"Peru CDP, New York: Summary level: 160, state:36> place:57364",508,412,96
"Phelps village, New York: Summary level: 160, state:36> place:57518",962,621,341
"Philadelphia village, New York: Summary level: 160, state:36> place:57551",471,187,284
"Philmont village, New York: Summary level: 160, state:36> place:57639",576,322,254
"Phoenicia CDP, New York: Summary level: 160, state:36> place:57650",162,103,59
"Phoenix village, New York: Summary level: 160, state:36> place:57661",1008,467,541
"Piermont village, New York: Summary level: 160, state:36> place:57749",1297,880,417
"Pierrepont Manor CDP, New York: Summary level: 160, state:36> place:57782",77,46,31
"Piffard CDP, New York: Summary level: 160, state:36> place:57804",81,53,28
"Pike CDP, New York: Summary level: 160, state:36> place:57815",129,92,37
"Pine Bush CDP, New York: Summary level: 160, state:36> place:57980",749,421,328
"Pine Hill CDP, New York: Summary level: 160, state:36> place:58057",114,64,50
"Pine Plains CDP, New York: Summary level: 160, state:36> place:58145",551,383,168
"Pine Valley CDP, New York: Summary level: 160, state:36> place:58189",403,272,131
"Pittsford village, New York: Summary level: 160, state:36> place:58354",630,459,171
"Plainedge CDP, New York: Summary level: 160, state:36> place:58409",2814,2584,230
"Plainview CDP, New York: Summary level: 160, state:36> place:58442",8959,8372,587
"Plandome village, New York: Summary level: 160, state:36> place:58475",408,370,38
"Plandome Heights village, New York: Summary level: 160, state:36> place:58486",318,309,9
"Plandome Manor village, New York: Summary level: 160, state:36> place:58497",291,267,24
"Plattekill CDP, New York: Summary level: 160, state:36> place:58541",497,258,239
"Plattsburgh city, New York: Summary level: 160, state:36> place:58574",8018,3179,4839
"Plattsburgh West CDP, New York: Summary level: 160, state:36> place:58601",622,412,210
"Pleasant Valley CDP, New York: Summary level: 160, state:36> place:58684",412,144,268
"Pleasantville village, New York: Summary level: 160, state:36> place:58728",2648,1900,748
"Plessis CDP, New York: Summary level: 160, state:36> place:58739",32,32,0
"Poestenkill CDP, New York: Summary level: 160, state:36> place:58794",396,352,44
"Point Lookout CDP, New York: Summary level: 160, state:36> place:58849",545,368,177
"Poland village, New York: Summary level: 160, state:36> place:58937",154,122,32
"Pomona village, New York: Summary level: 160, state:36> place:58992",990,940,50
"Poquott village, New York: Summary level: 160, state:36> place:59157",354,303,51
"Port Byron village, New York: Summary level: 160, state:36> place:59212",491,339,152
"Port Chester village, New York: Summary level: 160, state:36> place:59223",9704,4125,5579
"Port Dickinson village, New York: Summary level: 160, state:36> place:59245",634,409,225
"Port Ewen CDP, New York: Summary level: 160, state:36> place:59311",1564,1166,398
"Port Gibson CDP, New York: Summary level: 160, state:36> place:59322",187,177,10
"Port Henry village, New York: Summary level: 160, state:36> place:59333",450,316,134
"Port Jefferson village, New York: Summary level: 160, state:36> place:59355",3038,2366,672
"Port Jefferson Station CDP, New York: Summary level: 160, state:36> place:59377",2847,2060,787
"Port Jervis city, New York: Summary level: 160, state:36> place:59388",3501,1676,1825
"Port Leyden village, New York: Summary level: 160, state:36> place:59454",265,174,91
"Portville village, New York: Summary level: 160, state:36> place:59498",430,303,127
"Port Washington CDP, New York: Summary level: 160, state:36> place:59520",5748,4201,1547
"Port Washington North village, New York: Summary level: 160, state:36> place:59531",1352,960,392
"Potsdam village, New York: Summary level: 160, state:36> place:59564",2243,655,1588
"Pottersville CDP, New York: Summary level: 160, state:36> place:59619",90,31,59
"Poughkeepsie city, New York: Summary level: 160, state:36> place:59641",12539,4801,7738
"Prattsburgh CDP, New York: Summary level: 160, state:36> place:59708",311,189,122
"Prattsville CDP, New York: Summary level: 160, state:36> place:59740",95,68,27
"Preston-Potter Hollow CDP, New York: Summary level: 160, state:36> place:59831",153,137,16
"Prospect village, New York: Summary level: 160, state:36> place:59883",89,74,15
"Pulaski village, New York: Summary level: 160, state:36> place:59960",974,448,526
"Pultneyville CDP, New York: Summary level: 160, state:36> place:59993",283,283,0
"Putnam Lake CDP, New York: Summary level: 160, state:36> place:60103",1481,1263,218
"Quiogue CDP, New York: Summary level: 160, state:36> place:60408",246,225,21
"Quogue village, New York: Summary level: 160, state:36> place:60422",359,312,47
"Ransomville CDP, New York: Summary level: 160, state:36> place:60598",597,492,105
"Rapids CDP, New York: Summary level: 160, state:36> place:60609",527,493,34
"Ravena village, New York: Summary level: 160, state:36> place:60675",1372,878,494
"Randolph CDP, New York: Summary level: 160, state:36> place:60756",534,328,206
"Red Creek village, New York: Summary level: 160, state:36> place:60829",216,157,59
"Redford CDP, New York: Summary level: 160, state:36> place:60884",143,143,0
"Red Hook village, New York: Summary level: 160, state:36> place:60895",904,478,426
"Red Oaks Mill CDP, New York: Summary level: 160, state:36> place:60983",1322,1184,138
"Redwood CDP, New York: Summary level: 160, state:36> place:61016",170,81,89
"Remsen village, New York: Summary level: 160, state:36> place:61115",215,124,91
"Remsenburg-Speonk CDP, New York: Summary level: 160, state:36> place:61142",876,723,153
"Rensselaer city, New York: Summary level: 160, state:36> place:61148",4349,1991,2358
"Rensselaer Falls village, New York: Summary level: 160, state:36> place:61159",142,114,28
"Retsof CDP, New York: Summary level: 160, state:36> place:61236",53,44,9
"Rhinebeck village, New York: Summary level: 160, state:36> place:61346",1146,713,433
"Rhinecliff CDP, New York: Summary level: 160, state:36> place:61368",266,211,55
"Richburg village, New York: Summary level: 160, state:36> place:61434",252,180,72
"Richfield Springs village, New York: Summary level: 160, state:36> place:61489",518,337,181
"Richmondville village, New York: Summary level: 160, state:36> place:61588",360,208,152
"Richville village, New York: Summary level: 160, state:36> place:61621",131,102,29
"Ridge CDP, New York: Summary level: 160, state:36> place:61665",5411,4726,685
"Rifton CDP, New York: Summary level: 160, state:36> place:61797",288,215,73
"Ripley CDP, New York: Summary level: 160, state:36> place:61874",343,234,109
"Riverhead CDP, New York: Summary level: 160, state:36> place:61973",4925,2924,2001
"Riverside village, New York: Summary level: 160, state:36> place:62061",217,192,25
"Riverside CDP, New York: Summary level: 160, state:36> place:62066",803,558,245
"Rochester city, New York: Summary level: 160, state:36> place:63000",86418,34002,52416
"Rock Hill CDP, New York: Summary level: 160, state:36> place:63132",601,482,119
"Rockville Centre village, New York: Summary level: 160, state:36> place:63264",9148,6557,2591
"Rocky Point CDP, New York: Summary level: 160, state:36> place:63319",4722,4135,587
"Rodman CDP, New York: Summary level: 160, state:36> place:63330",49,39,10
"Rome city, New York: Summary level: 160, state:36> place:63418",13482,7664,5818
"Romulus CDP, New York: Summary level: 160, state:36> place:63429",205,163,42
"Ronkonkoma CDP, New York: Summary level: 160, state:36> place:63473",6399,5207,1192
"Roosevelt CDP, New York: Summary level: 160, state:36> place:63506",4193,2847,1346
"Roscoe CDP, New York: Summary level: 160, state:36> place:63583",298,230,68
"Rosendale Hamlet CDP, New York: Summary level: 160, state:36> place:63742",656,386,270
"Roslyn village, New York: Summary level: 160, state:36> place:63770",1157,744,413
"Roslyn Estates village, New York: Summary level: 160, state:36> place:63792",383,371,12
"Roslyn Harbor village, New York: Summary level: 160, state:36> place:63803",389,362,27
"Roslyn Heights CDP, New York: Summary level: 160, state:36> place:63814",2121,1758,363
"Rotterdam CDP, New York: Summary level: 160, state:36> place:63924",7909,6494,1415
"Round Lake village, New York: Summary level: 160, state:36> place:63957",231,179,52
"Rouses Point village, New York: Summary level: 160, state:36> place:63979",1050,562,488
"Rushford CDP, New York: Summary level: 160, state:36> place:64155",142,108,34
"Rushville village, New York: Summary level: 160, state:36> place:64199",240,161,79
"Russell Gardens village, New York: Summary level: 160, state:36> place:64232",318,225,93
"Rye city, New York: Summary level: 160, state:36> place:64309",5524,3975,1549
"Rye Brook village, New York: Summary level: 160, state:36> place:64325",3444,2847,597
"Sackets Harbor village, New York: Summary level: 160, state:36> place:64408",699,300,399
"Saddle Rock village, New York: Summary level: 160, state:36> place:64430",311,253,58
"Saddle Rock Estates CDP, New York: Summary level: 160, state:36> place:64441",133,133,0
"Sagaponack village, New York: Summary level: 160, state:36> place:64452",116,104,12
"Sag Harbor village, New York: Summary level: 160, state:36> place:64485",863,676,187
"St. Bonaventure CDP, New York: Summary level: 160, state:36> place:64551",210,163,47
"St. James CDP, New York: Summary level: 160, state:36> place:64584",4457,4028,429
"St. Johnsville village, New York: Summary level: 160, state:36> place:64639",564,310,254
"St. Regis Falls CDP, New York: Summary level: 160, state:36> place:64716",195,140,55
"Salamanca city, New York: Summary level: 160, state:36> place:64749",2478,1328,1150
"Salem village, New York: Summary level: 160, state:36> place:64771",355,252,103
"Salisbury CDP, New York: Summary level: 160, state:36> place:64842",3902,3551,351
"Salisbury Mills CDP, New York: Summary level: 160, state:36> place:64859",93,75,18
"Saltaire village, New York: Summary level: 160, state:36> place:64881",29,25,4
"Salt Point CDP, New York: Summary level: 160, state:36> place:64892",114,114,0
"Sanborn CDP, New York: Summary level: 160, state:36> place:64958",522,448,74
"Sand Ridge CDP, New York: Summary level: 160, state:36> place:65024",432,377,55
"Sands Point village, New York: Summary level: 160, state:36> place:65035",893,848,45
"Sandy Creek village, New York: Summary level: 160, state:36> place:65068",288,196,92
"Saranac Lake village, New York: Summary level: 160, state:36> place:65233",2831,1375,1456
"Saratoga Springs city, New York: Summary level: 160, state:36> place:65255",11533,6429,5104
"Saugerties village, New York: Summary level: 160, state:36> place:65288",1749,821,928
"Saugerties South CDP, New York: Summary level: 160, state:36> place:65310",887,740,147
"Savannah CDP, New York: Summary level: 160, state:36> place:65332",193,151,42
"Savona village, New York: Summary level: 160, state:36> place:65354",258,184,74
"Sayville CDP, New York: Summary level: 160, state:36> place:65409",5735,4603,1132
"Scarsdale village, New York: Summary level: 160, state:36> place:65431",5402,4774,628
"Schaghticoke village, New York: Summary level: 160, state:36> place:65475",220,137,83
"Schenectady city, New York: Summary level: 160, state:36> place:65508",24762,12089,12673
"Schenevus CDP, New York: Summary level: 160, state:36> place:65519",144,91,53
"Schoharie village, New York: Summary level: 160, state:36> place:65585",446,241,205
"Schroon Lake CDP, New York: Summary level: 160, state:36> place:65640",361,266,95
"Schuylerville village, New York: Summary level: 160, state:36> place:65750",673,402,271
"Scio CDP, New York: Summary level: 160, state:36> place:65761",213,175,38
"Scotchtown CDP, New York: Summary level: 160, state:36> place:65882",3318,1965,1353
"Scotia village, New York: Summary level: 160, state:36> place:65893",2908,2024,884
"Scottsburg CDP, New York: Summary level: 160, state:36> place:65926",52,49,3
"Scotts Corners CDP, New York: Summary level: 160, state:36> place:65948",230,173,57
"Scottsville village, New York: Summary level: 160, state:36> place:65959",920,648,272
"Sea Cliff village, New York: Summary level: 160, state:36> place:66047",1966,1479,487
"Seaford CDP, New York: Summary level: 160, state:36> place:66058",5210,4677,533
"Searingtown CDP, New York: Summary level: 160, state:36> place:66102",1436,1416,20
"Selden CDP, New York: Summary level: 160, state:36> place:66212",6426,5187,1239
"Seneca Falls CDP, New York: Summary level: 160, state:36> place:66322",2894,1888,1006
"Seneca Knolls CDP, New York: Summary level: 160, state:36> place:66366",862,789,73
"Setauket-East Setauket CDP, New York: Summary level: 160, state:36> place:66481",5184,4811,373
"Sharon Springs village, New York: Summary level: 160, state:36> place:66663",209,106,103
"Shelter Island CDP, New York: Summary level: 160, state:36> place:66828",466,335,131
"Shelter Island Heights CDP, New York: Summary level: 160, state:36> place:66850",526,493,33
"Shenorock CDP, New York: Summary level: 160, state:36> place:66872",661,641,20
"Sherburne village, New York: Summary level: 160, state:36> place:66883",583,313,270
"Sherman village, New York: Summary level: 160, state:36> place:66949",258,200,58
"Sherrill city, New York: Summary level: 160, state:36> place:66993",1336,1000,336
"Shinnecock Hills CDP, New York: Summary level: 160, state:36> place:67048",741,404,337
"Shirley CDP, New York: Summary level: 160, state:36> place:67070",7672,6580,1092
"Shokan CDP, New York: Summary level: 160, state:36> place:67081",495,418,77
"Shoreham village, New York: Summary level: 160, state:36> place:67191",187,182,5
"Shortsville village, New York: Summary level: 160, state:36> place:67257",557,431,126
"Shrub Oak CDP, New York: Summary level: 160, state:36> place:67279",874,675,199
"Sidney village, New York: Summary level: 160, state:36> place:67334",1811,1040,771
"Silver Creek village, New York: Summary level: 160, state:36> place:67411",1082,829,253
"Silver Springs village, New York: Summary level: 160, state:36> place:67466",317,240,77
"Sinclairville village, New York: Summary level: 160, state:36> place:67488",213,154,59
"Skaneateles village, New York: Summary level: 160, state:36> place:67510",1175,800,375
"Sleepy Hollow village, New York: Summary level: 160, state:36> place:67638",3460,1319,2141
"Sloan village, New York: Summary level: 160, state:36> place:67686",1612,1147,465
"Sloatsburg village, New York: Summary level: 160, state:36> place:67708",1041,792,249
"Smallwood CDP, New York: Summary level: 160, state:36> place:67730",166,138,28
"Smithtown CDP, New York: Summary level: 160, state:36> place:67851",8518,7566,952
"Smithville Flats CDP, New York: Summary level: 160, state:36> place:68088",187,141,46
"Smyrna village, New York: Summary level: 160, state:36> place:68099",64,49,15
"Sodus village, New York: Summary level: 160, state:36> place:68209",889,547,342
"Sodus Point village, New York: Summary level: 160, state:36> place:68242",422,345,77
"Solvay village, New York: Summary level: 160, state:36> place:68286",2881,1485,1396
"Sound Beach CDP, New York: Summary level: 160, state:36> place:68374",2564,2199,365
"Southampton village, New York: Summary level: 160, state:36> place:68462",1292,978,314
"South Blooming Grove village, New York: Summary level: 160, state:36> place:68610",1145,975,170
"South Corning village, New York: Summary level: 160, state:36> place:68847",461,383,78
"South Dayton village, New York: Summary level: 160, state:36> place:68891",305,206,99
"South Fallsburg CDP, New York: Summary level: 160, state:36> place:68968",802,265,537
"South Farmingdale CDP, New York: Summary level: 160, state:36> place:69001",4808,4497,311
"South Floral Park village, New York: Summary level: 160, state:36> place:69023",603,444,159
"South Glens Falls village, New York: Summary level: 160, state:36> place:69078",1664,831,833
"South Hempstead CDP, New York: Summary level: 160, state:36> place:69188",1001,832,169
"South Hill CDP, New York: Summary level: 160, state:36> place:69199",998,750,248
"South Huntington CDP, New York: Summary level: 160, state:36> place:69254",3329,2817,512
"South Lima CDP, New York: Summary level: 160, state:36> place:69364",88,57,31
"South Lockport CDP, New York: Summary level: 160, state:36> place:69386",3673,2319,1354
"South Nyack village, New York: Summary level: 160, state:36> place:69441",1231,702,529
"Southold CDP, New York: Summary level: 160, state:36> place:69452",2559,2257,302
